data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,24.0,24,24,24,0.149678,7.58951,0,2,410480820155218606,2020-12-10,2.0,1.0,316226.0,23.0,,1,0,1,421
2016-01-03,201601,110.0,110,110,110,1.0,34.7852,0,2,410480820160118606,2020-12-10,2.0,3.0,316226.0,24.0,,1,1,2,421
2016-01-10,201602,132.0,132,132,132,1.0,41.7423,0,4,410480820160218606,2020-12-10,3.0,3.0,316226.0,23.0,,1,1,2,421
2016-01-17,201603,119.0,119,119,119,0.979935,37.6313,0,4,410480820160318606,2020-12-10,7.0,1.0,316226.0,21.0,,0,1,2,421
2016-01-24,201604,144.0,144,144,144,0.951456,45.5371,0,4,410480820160418606,2020-12-10,3.0,1.0,316226.0,22.0,,0,1,2,421
2016-01-31,201605,191.0,191,191,191,0.999639,60.3998,0,4,410480820160518606,2020-12-10,6.0,1.0,316226.0,22.0,,0,1,2,421
2016-02-07,201606,182.0,182,182,182,0.961255,57.5538,0,4,410480820160618606,2020-12-10,13.0,1.0,316226.0,24.0,,1,1,2,421
2016-02-14,201607,329.0,329,329,329,1.0,104.04,0,4,410480820160718606,2020-12-10,7.0,2.0,316226.0,24.0,,1,1,2,421
2016-02-21,201608,343.0,343,343,343,1.0,108.467,0,4,410480820160818606,2020-12-10,9.0,2.0,316226.0,23.0,,1,1,2,421
2016-02-28,201609,326.0,326,326,326,0.943276,103.091,0,4,410480820160918606,2020-12-10,7.0,1.0,316226.0,20.0,,0,0,2,421
2016-03-06,201610,294.0,294,294,294,0.130312,92.9715,0,4,410480820161018606,2020-12-10,8.0,1.0,316226.0,18.0,,0,0,2,421
2016-03-13,201611,274.0,274,274,274,0.036421,86.6469,0,4,410480820161118606,2020-12-10,8.0,1.0,316226.0,21.0,,0,0,2,421
2016-03-20,201612,241.0,241,241,241,0.00923169,76.2113,0,4,410480820161218606,2020-12-10,18.0,1.0,316226.0,20.0,,0,0,2,421
2016-03-27,201613,347.0,347,347,347,0.997609,109.732,0,4,410480820161318606,2020-12-10,10.0,1.0,316226.0,18.0,,0,1,2,421
2016-04-03,201614,400.0,400,400,400,0.999994,126.492,0,4,410480820161418606,2020-12-10,7.0,1.0,316226.0,23.0,,1,1,2,421
2016-04-10,201615,543.0,543,543,543,1.0,171.713,0,4,410480820161518606,2020-12-10,1.0,2.0,316226.0,22.0,,0,1,2,421
2016-04-17,201616,425.0,425,425,425,0.671694,134.398,0,4,410480820161618606,2020-12-10,2.0,1.0,316226.0,22.0,,0,0,2,421
2016-04-24,201617,444.0,444,444,444,0.296495,140.406,0,4,410480820161718606,2020-12-10,0.0,1.0,316226.0,12.0,,0,0,2,421
2016-05-01,201618,242.0,242,242,242,3.21965e-15,76.5275,0,4,410480820161818606,2020-12-10,0.0,1.0,316226.0,13.0,,0,0,2,421
2016-05-08,201619,99.0,99,99,99,0.0,31.3067,0,4,410480820161918606,2020-12-10,0.0,0.0,316226.0,17.0,,0,0,2,421
