data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,51.0,51,51,51,0.893266,2.69272,0,2,410690220155218606,2020-12-10,35.0,1.0,1893997.0,20.0,,0,0,1,37
2016-01-03,201601,372.0,372,372,372,1.0,19.641,0,2,410690220160118606,2020-12-10,72.0,6.0,1893997.0,18.0,,0,1,2,37
2016-01-10,201602,528.0,528,528,528,1.0,27.8776,0,4,410690220160218606,2020-12-10,100.0,3.0,1893997.0,18.0,,0,1,2,37
2016-01-17,201603,574.0,574,574,574,1.0,30.3063,0,4,410690220160318606,2020-12-10,123.0,2.0,1893997.0,14.0,,0,1,2,37
2016-01-24,201604,592.0,592,592,592,0.999844,31.2566,0,4,410690220160418606,2020-12-10,108.0,1.0,1893997.0,18.0,,0,1,2,37
2016-01-31,201605,663.0,663,663,663,0.998909,35.0053,0,4,410690220160518606,2020-12-10,240.0,1.0,1893997.0,19.0,,0,1,2,37
2016-02-07,201606,845.0,845,845,845,1.0,44.6146,0,4,410690220160618606,2020-12-10,201.0,1.0,1893997.0,19.0,,0,1,2,37
2016-02-14,201607,1162.0,1162,1162,1162,1.0,61.3517,0,4,410690220160718606,2020-12-10,210.0,2.0,1893997.0,20.0,,0,1,2,37
2016-02-21,201608,978.0,978,978,978,0.995441,51.6368,0,4,410690220160818606,2020-12-10,138.0,1.0,1893997.0,20.0,,0,1,2,37
2016-02-28,201609,751.0,751,751,751,1.0874e-08,39.6516,0,4,410690220160918606,2020-12-10,110.0,1.0,1893997.0,17.0,,0,0,2,37
2016-03-06,201610,661.0,661,661,661,2.06968e-12,34.8997,0,4,410690220161018606,2020-12-10,99.0,1.0,1893997.0,18.0,,0,0,2,37
2016-03-13,201611,634.0,634,634,634,7.98716e-06,33.4742,0,4,410690220161118606,2020-12-10,101.0,1.0,1893997.0,17.0,,0,0,2,37
2016-03-20,201612,538.0,538,538,538,1.14056e-05,28.4055,0,4,410690220161218606,2020-12-10,202.0,1.0,1893997.0,18.0,,0,0,2,37
2016-03-27,201613,874.0,874,874,874,1.0,46.1458,0,4,410690220161318606,2020-12-10,75.0,1.0,1893997.0,16.0,,0,1,2,37
2016-04-03,201614,623.0,623,623,623,0.205824,32.8934,0,4,410690220161418606,2020-12-10,60.0,1.0,1893997.0,19.0,,0,0,2,37
2016-04-10,201615,572.0,572,572,572,0.000205448,30.2007,0,4,410690220161518606,2020-12-10,35.0,1.0,1893997.0,19.0,,0,0,2,37
2016-04-17,201616,507.0,507,507,507,4.82319e-06,26.7688,0,4,410690220161618606,2020-12-10,18.0,1.0,1893997.0,17.0,,0,0,2,37
2016-04-24,201617,347.0,347,347,347,6.55032e-14,18.321,0,4,410690220161718606,2020-12-10,14.0,1.0,1893997.0,11.0,,0,0,2,37
2016-05-01,201618,190.0,190,190,190,0.0,10.0317,0,4,410690220161818606,2020-12-10,11.0,0.0,1893997.0,10.0,,0,0,2,37
2016-05-08,201619,155.0,155,155,155,0.0,8.18375,0,4,410690220161918606,2020-12-10,8.0,0.0,1893997.0,14.0,,0,0,2,37
2016-05-15,201620,116.0,116,116,116,1.03599e-10,6.12461,0,4,410690220162018606,2020-12-10,12.0,0.0,1893997.0,11.0,,0,0,2,37
