data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,68.0,68,68,68,3.36161e-06,25.7659,0,2,410830420155218606,2020-12-10,11.0,1.0,263915.0,23.0,,1,0,1,3190
2016-01-03,201601,256.0,256,256,256,1.0,97.0009,0,2,410830420160118606,2020-12-10,6.0,2.0,263915.0,24.0,,1,1,1,3190
2016-01-10,201602,416.0,416,416,416,1.0,157.627,0,3,410830420160218606,2020-12-10,9.0,3.0,263915.0,23.0,,1,1,2,3190
2016-01-17,201603,754.0,754,754,754,1.0,285.698,0,4,410830420160318606,2020-12-10,10.0,3.0,263915.0,21.0,,0,1,2,3190
2016-01-24,201604,1157.0,1157,1157,1157,1.0,438.399,0,4,410830420160418606,2020-12-10,19.0,2.0,263915.0,22.0,,0,1,2,3190
2016-01-31,201605,1299.0,1299,1299,1299,1.0,492.204,0,4,410830420160518606,2020-12-10,27.0,2.0,263915.0,22.0,,0,1,2,3190
2016-02-07,201606,1640.0,1640,1640,1640,1.0,621.412,0,4,410830420160618606,2020-12-10,29.0,2.0,263915.0,24.0,,1,1,2,3190
2016-02-14,201607,1801.0,1801,1801,1801,1.0,682.417,0,4,410830420160718606,2020-12-10,23.0,1.0,263915.0,24.0,,1,1,2,3190
2016-02-21,201608,2102.0,2102,2102,2102,1.0,796.469,0,4,410830420160818606,2020-12-10,19.0,1.0,263915.0,23.0,,1,1,2,3190
2016-02-28,201609,1891.0,1891,1891,1891,0.929841,716.519,0,4,410830420160918606,2020-12-10,23.0,1.0,263915.0,20.0,,0,0,2,3190
2016-03-06,201610,1403.0,1403,1403,1403,0.0,531.611,0,4,410830420161018606,2020-12-10,15.0,1.0,263915.0,18.0,,0,0,2,3190
2016-03-13,201611,1151.0,1151,1151,1151,0.0,436.125,0,4,410830420161118606,2020-12-10,29.0,1.0,263915.0,21.0,,0,0,2,3190
2016-03-20,201612,831.0,831,831,831,0.0,314.874,0,4,410830420161218606,2020-12-10,32.0,1.0,263915.0,20.0,,0,0,2,3190
2016-03-27,201613,926.0,926,926,926,1.24278e-07,350.871,0,4,410830420161318606,2020-12-10,17.0,1.0,263915.0,18.0,,0,0,2,3190
2016-04-03,201614,850.0,850,850,850,0.00360234,322.073,0,4,410830420161418606,2020-12-10,13.0,1.0,263915.0,23.0,,1,0,2,3190
2016-04-10,201615,535.0,535,535,535,0.0,202.717,0,4,410830420161518606,2020-12-10,6.0,1.0,263915.0,22.0,,0,0,2,3190
2016-04-17,201616,522.0,522,522,522,1.85674e-12,197.791,0,4,410830420161618606,2020-12-10,4.0,1.0,263915.0,22.0,,0,0,2,3190
