data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,15.0,15,15,15,0.355955,17.1446,0,1,410840320155218606,2020-12-10,0.0,1.0,87491.0,23.0,,1,0,1,61
2016-01-03,201601,52.0,52,52,52,0.999961,59.4347,0,2,410840320160118606,2020-12-10,0.0,3.0,87491.0,24.0,,1,1,2,61
2016-01-10,201602,63.0,63,63,63,0.999922,72.0074,0,4,410840320160218606,2020-12-10,3.0,2.0,87491.0,23.0,,1,1,2,61
2016-01-17,201603,57.0,57,57,57,0.906794,65.1496,0,4,410840320160318606,2020-12-10,2.0,1.0,87491.0,21.0,,0,0,2,61
2016-01-24,201604,48.0,48,48,48,0.244326,54.8628,0,4,410840320160418606,2020-12-10,2.0,1.0,87491.0,22.0,,0,0,2,61
2016-01-31,201605,63.0,63,63,63,0.744039,72.0074,0,4,410840320160518606,2020-12-10,6.0,1.0,87491.0,22.0,,0,0,2,61
2016-02-07,201606,56.0,56,56,56,0.543913,64.0066,0,4,410840320160618606,2020-12-10,8.0,1.0,87491.0,24.0,,1,0,2,61
2016-02-14,201607,126.0,126,126,126,0.999999,144.015,0,4,410840320160718606,2020-12-10,1.0,2.0,87491.0,24.0,,1,1,2,61
2016-02-21,201608,128.0,128,128,128,0.999785,146.301,0,4,410840320160818606,2020-12-10,2.0,2.0,87491.0,23.0,,1,1,2,61
2016-02-28,201609,76.0,76,76,76,0.0231391,86.8661,0,4,410840320160918606,2020-12-10,0.0,1.0,87491.0,20.0,,0,0,2,61
2016-03-06,201610,80.0,80,80,80,0.0216239,91.438,0,4,410840320161018606,2020-12-10,2.0,1.0,87491.0,18.0,,0,0,2,61
2016-03-13,201611,90.0,90,90,90,0.424453,102.868,0,4,410840320161118606,2020-12-10,0.0,1.0,87491.0,21.0,,0,0,2,61
2016-03-20,201612,108.0,108,108,108,0.948578,123.441,0,4,410840320161218606,2020-12-10,4.0,1.0,87491.0,20.0,,0,0,2,61
2016-03-27,201613,103.0,103,103,103,0.792735,117.726,0,4,410840320161318606,2020-12-10,1.0,1.0,87491.0,18.0,,0,0,2,61
2016-04-03,201614,91.0,91,91,91,0.271509,104.011,0,4,410840320161418606,2020-12-10,2.0,1.0,87491.0,23.0,,1,0,2,61
2016-04-10,201615,128.0,128,128,128,0.961047,146.301,0,4,410840320161518606,2020-12-10,0.0,1.0,87491.0,22.0,,0,1,2,61
2016-04-17,201616,162.0,162,162,162,0.999607,185.162,0,4,410840320161618606,2020-12-10,0.0,2.0,87491.0,22.0,,0,1,2,61
2016-04-24,201617,101.0,101,101,101,0.0637459,115.44,0,4,410840320161718606,2020-12-10,0.0,1.0,87491.0,12.0,,0,0,2,61
2016-05-01,201618,86.0,86,86,86,0.00128747,98.2958,0,4,410840320161818606,2020-12-10,0.0,1.0,87491.0,13.0,,0,0,2,61
2016-05-08,201619,70.0,70,70,70,0.000983029,80.0082,0,4,410840320161918606,2020-12-10,,1.0,87491.0,17.0,,0,0,2,61
2016-05-15,201620,24.0,24,24,24,4.16088e-10,27.4314,0,4,410840320162018606,2020-12-10,0.0,0.0,87491.0,13.0,,0,0,2,61
2016-05-22,201621,5.0,5,5,5,1.95399e-14,5.71487,0,2,410840320162118606,2020-12-10,0.0,0.0,87491.0,12.0,,0,0,1,61
2016-05-29,201622,5.0,5,5,5,5.09915e-07,5.71487,0,2,410840320162218606,2020-12-10,0.0,0.0,87491.0,10.0,,0,0,1,61
2016-06-05,201623,9.0,9,9,9,0.157838,10.2868,0,2,410840320162318606,2020-12-10,0.0,1.0,87491.0,4.0,,0,0,1,61
2016-06-12,201624,3.0,3,3,3,0.0830126,3.42892,0,2,410840320162418606,2020-12-10,,0.0,87491.0,9.0,,0,0,0,61
2016-06-19,201625,1.0,1,1,1,0.015997,1.14297,0,1,410840320162518606,2020-12-10,0.0,0.0,87491.0,12.0,,0,0,0,61
2016-06-26,201626,0.0,0,0,0,0.0,0.0,0,1,410840320162618606,2020-12-10,1.0,0.0,87491.0,15.0,,0,0,0,61
2016-07-03,201627,2.0,2,2,2,0.559435,2.28595,0,1,410840320162718606,2020-12-10,0.0,1.0,87491.0,12.0,,0,0,0,61
2016-07-10,201628,5.0,5,5,5,0.957011,5.71487,0,1,410840320162818606,2020-12-10,0.0,4.0,87491.0,16.0,,0,1,1,61
2016-07-17,201629,0.0,0,0,0,0.0,0.0,0,1,410840320162918606,2020-12-10,0.0,0.0,87491.0,5.0,,0,0,0,61
2016-07-24,201630,4.0,4,4,4,0.704445,4.5719,0,1,410840320163018606,2020-12-10,,1.0,87491.0,13.0,,0,0,0,61
2016-07-31,201631,5.0,5,5,5,0.829169,5.71487,0,1,410840320163118606,2020-12-10,0.0,2.0,87491.0,16.0,,0,0,1,61
2016-08-07,201632,3.0,3,3,3,0.457997,3.42892,0,1,410840320163218606,2020-12-10,0.0,1.0,87491.0,11.0,,0,0,0,61
2016-08-14,201633,0.0,0,0,0,0.0,0.0,0,1,410840320163318606,2020-12-10,0.0,0.0,87491.0,16.0,,0,0,0,61
2016-08-21,201634,8.0,8,8,8,0.942698,9.1438,0,1,410840320163418606,2020-12-10,0.0,3.0,87491.0,12.0,,0,0,1,61
2016-08-28,201635,4.0,4,4,4,0.629731,4.5719,0,1,410840320163518606,2020-12-10,0.0,1.0,87491.0,14.0,,0,0,0,61
2016-09-04,201636,2.0,2,2,2,0.147388,2.28595,0,1,410840320163618606,2020-12-10,0.0,0.0,87491.0,9.0,,0,0,0,61
2016-09-11,201637,5.0,5,5,5,0.595027,5.71487,0,1,410840320163718606,2020-12-10,0.0,1.0,87491.0,14.0,,0,0,1,61
2016-09-18,201638,6.0,6,6,6,0.777365,6.85785,0,1,410840320163818606,2020-12-10,0.0,2.0,87491.0,14.0,,0,0,1,61
2016-09-25,201639,5.0,5,5,5,0.573958,5.71487,0,1,410840320163918606,2020-12-10,0.0,1.0,87491.0,13.0,,0,0,1,61
