data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,198.0,198,198,198,0.000146785,35.7793,0,2,411370020155218606,2020-12-10,12.0,1.0,553393.0,22.0,,0,0,1,2985
2016-01-03,201601,650.0,650,650,650,1.0,117.457,0,2,411370020160118606,2020-12-10,9.0,2.0,553393.0,22.0,,1,1,2,2985
2016-01-10,201602,655.0,655,655,655,1.0,118.361,0,4,411370020160218606,2020-12-10,13.0,2.0,553393.0,23.0,,1,1,2,2985
2016-01-17,201603,872.0,872,872,872,1.0,157.573,0,4,411370020160318606,2020-12-10,15.0,2.0,553393.0,18.0,,0,1,2,2985
2016-01-24,201604,1051.0,1051,1051,1051,1.0,189.919,0,4,411370020160418606,2020-12-10,9.0,2.0,553393.0,22.0,,0,1,2,2985
2016-01-31,201605,1043.0,1043,1043,1043,0.999994,188.474,0,4,411370020160518606,2020-12-10,20.0,1.0,553393.0,22.0,,1,1,2,2985
2016-02-07,201606,1250.0,1250,1250,1250,1.0,225.879,0,4,411370020160618606,2020-12-10,18.0,1.0,553393.0,22.0,,0,1,2,2985
2016-02-14,201607,1418.0,1418,1418,1418,1.0,256.237,0,4,411370020160718606,2020-12-10,27.0,1.0,553393.0,23.0,,1,1,2,2985
2016-02-21,201608,1255.0,1255,1255,1255,0.742332,226.783,0,4,411370020160818606,2020-12-10,21.0,1.0,553393.0,22.0,,0,0,2,2985
2016-02-28,201609,1059.0,1059,1059,1059,9.0806e-07,191.365,0,4,411370020160918606,2020-12-10,10.0,1.0,553393.0,20.0,,0,0,2,2985
2016-03-06,201610,1089.0,1089,1089,1089,0.00158248,196.786,0,4,411370020161018606,2020-12-10,9.0,1.0,553393.0,20.0,,0,0,2,2985
2016-03-13,201611,1025.0,1025,1025,1025,0.0137389,185.221,0,4,411370020161118606,2020-12-10,16.0,1.0,553393.0,20.0,,0,0,2,2985
2016-03-20,201612,1090.0,1090,1090,1090,0.652475,196.967,0,4,411370020161218606,2020-12-10,37.0,1.0,553393.0,21.0,,0,0,2,2985
2016-03-27,201613,1275.0,1275,1275,1275,0.999991,230.397,0,4,411370020161318606,2020-12-10,20.0,1.0,553393.0,20.0,,0,1,2,2985
2016-04-03,201614,908.0,908,908,908,6.06266e-06,164.079,0,4,411370020161418606,2020-12-10,16.0,1.0,553393.0,22.0,,0,0,2,2985
2016-04-10,201615,880.0,880,880,880,3.73302e-07,159.019,0,4,411370020161518606,2020-12-10,5.0,1.0,553393.0,22.0,,1,0,2,2985
2016-04-17,201616,916.0,916,916,916,0.0324817,165.524,0,4,411370020161618606,2020-12-10,4.0,1.0,553393.0,21.0,,0,0,2,2985
2016-04-24,201617,492.0,492,492,492,0.0,88.9061,0,4,411370020161718606,2020-12-10,0.0,1.0,553393.0,14.0,,0,0,2,2985
2016-05-01,201618,332.0,332,332,332,0.0,59.9935,0,2,411370020161818606,2020-12-10,4.0,0.0,553393.0,13.0,,0,0,1,2985
2016-05-08,201619,224.0,224,224,224,0.0,40.4776,0,2,411370020161918606,2020-12-10,,0.0,553393.0,17.0,,0,0,1,2985
2016-05-15,201620,186.0,186,186,186,1.9984e-15,33.6108,0,2,411370020162018606,2020-12-10,1.0,1.0,553393.0,15.0,,0,0,1,2985
2016-05-22,201621,108.0,108,108,108,8.21565e-15,19.516,0,2,411370020162118606,2020-12-10,2.0,0.0,553393.0,14.0,,0,0,0,2985
2016-05-29,201622,104.0,104,104,104,2.50672e-06,18.7932,0,1,411370020162218606,2020-12-10,0.0,1.0,553393.0,16.0,,0,0,0,2985
2016-06-05,201623,56.0,56,56,56,1.79609e-08,10.1194,0,1,411370020162318606,2020-12-10,2.0,0.0,553393.0,11.0,,0,0,0,2985
2016-06-12,201624,74.0,74,74,74,0.0434659,13.3721,0,1,411370020162418606,2020-12-10,0.0,1.0,553393.0,10.0,,0,0,0,2985
2016-06-19,201625,60.0,60,60,60,0.0927763,10.8422,0,1,411370020162518606,2020-12-10,1.0,1.0,553393.0,13.0,,0,0,0,2985
