data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,120.0,120,120,120,0.699038,29.772,0,2,411520020155218606,2020-12-10,8.0,1.0,403063.0,22.0,,0,0,1,358
2016-01-03,201601,281.0,281,281,281,1.0,69.7161,0,2,411520020160118606,2020-12-10,8.0,2.0,403063.0,22.0,,1,1,2,358
2016-01-10,201602,361.0,361,361,361,1.0,89.5642,0,4,411520020160218606,2020-12-10,3.0,2.0,403063.0,23.0,,1,1,2,358
2016-01-17,201603,414.0,414,414,414,1.0,102.713,0,4,411520020160318606,2020-12-10,14.0,2.0,403063.0,18.0,,0,1,2,358
2016-01-24,201604,419.0,419,419,419,0.997503,103.954,0,4,411520020160418606,2020-12-10,4.0,1.0,403063.0,22.0,,0,1,2,358
2016-01-31,201605,593.0,593,593,593,1.0,147.123,0,4,411520020160518606,2020-12-10,9.0,1.0,403063.0,22.0,,1,1,2,358
2016-02-07,201606,620.0,620,620,620,0.999999,153.822,0,4,411520020160618606,2020-12-10,23.0,1.0,403063.0,22.0,,0,1,2,358
2016-02-14,201607,855.0,855,855,855,1.0,212.126,0,4,411520020160718606,2020-12-10,37.0,2.0,403063.0,23.0,,1,1,2,358
2016-02-21,201608,1034.0,1034,1034,1034,1.0,256.536,0,4,411520020160818606,2020-12-10,21.0,2.0,403063.0,22.0,,0,1,2,358
2016-02-28,201609,1079.0,1079,1079,1079,1.0,267.7,0,4,411520020160918606,2020-12-10,22.0,1.0,403063.0,20.0,,0,1,2,358
2016-03-06,201610,1309.0,1309,1309,1309,1.0,324.763,0,4,411520020161018606,2020-12-10,16.0,1.0,403063.0,20.0,,0,1,2,358
2016-03-13,201611,1465.0,1465,1465,1465,1.0,363.467,0,4,411520020161118606,2020-12-10,31.0,1.0,403063.0,20.0,,0,1,2,358
2016-03-20,201612,1464.0,1464,1464,1464,0.99983,363.219,0,4,411520020161218606,2020-12-10,36.0,1.0,403063.0,21.0,,0,1,2,358
2016-03-27,201613,1490.0,1490,1490,1490,0.955107,369.669,0,4,411520020161318606,2020-12-10,11.0,1.0,403063.0,20.0,,0,1,2,358
2016-04-03,201614,1249.0,1249,1249,1249,9.78004e-05,309.877,0,4,411520020161418606,2020-12-10,7.0,1.0,403063.0,22.0,,0,0,2,358
2016-04-10,201615,1224.0,1224,1224,1224,0.00025467,303.675,0,4,411520020161518606,2020-12-10,12.0,1.0,403063.0,22.0,,1,0,2,358
