data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,6.0,6,6,6,0.932112,7.5123,0,1,411850120155218606,2020-12-10,8.0,3.0,79869.0,23.0,,1,0,1,0
2016-01-03,201601,14.0,14,14,14,0.996553,17.5287,0,2,411850120160118606,2020-12-10,4.0,4.0,79869.0,24.0,,1,1,1,0
2016-01-10,201602,15.0,15,15,15,0.95747,18.7808,0,3,411850120160218606,2020-12-10,2.0,2.0,79869.0,23.0,,1,1,2,0
2016-01-17,201603,22.0,22,22,22,0.960506,27.5451,0,4,411850120160318606,2020-12-10,1.0,2.0,79869.0,21.0,,0,1,2,0
2016-01-24,201604,37.0,37,37,37,0.99722,46.3259,0,4,411850120160418606,2020-12-10,7.0,2.0,79869.0,22.0,,0,1,2,0
2016-01-31,201605,36.0,36,36,36,0.939796,45.0738,0,4,411850120160518606,2020-12-10,8.0,1.0,79869.0,22.0,,0,0,2,0
2016-02-07,201606,55.0,55,55,55,0.992107,68.8628,0,4,411850120160618606,2020-12-10,20.0,2.0,79869.0,24.0,,1,1,2,0
2016-02-14,201607,41.0,41,41,41,0.540319,51.3341,0,4,411850120160718606,2020-12-10,22.0,1.0,79869.0,24.0,,1,0,2,0
2016-02-21,201608,43.0,43,43,43,0.415501,53.8382,0,4,411850120160818606,2020-12-10,26.0,1.0,79869.0,23.0,,1,0,2,0
2016-02-28,201609,57.0,57,57,57,0.878442,71.3669,0,4,411850120160918606,2020-12-10,9.0,1.0,79869.0,20.0,,0,0,2,0
2016-03-06,201610,56.0,56,56,56,0.812828,70.1148,0,4,411850120161018606,2020-12-10,5.0,1.0,79869.0,18.0,,0,0,2,0
2016-03-13,201611,59.0,59,59,59,0.736792,73.871,0,4,411850120161118606,2020-12-10,4.0,1.0,79869.0,21.0,,0,0,2,0
2016-03-20,201612,44.0,44,44,44,0.127227,55.0902,0,4,411850120161218606,2020-12-10,8.0,1.0,79869.0,20.0,,0,0,2,0
2016-03-27,201613,64.0,64,64,64,0.8105,80.1312,0,4,411850120161318606,2020-12-10,10.0,1.0,79869.0,18.0,,0,0,2,0
2016-04-03,201614,72.0,72,72,72,0.941214,90.1476,0,4,411850120161418606,2020-12-10,3.0,1.0,79869.0,23.0,,1,0,2,0
2016-04-10,201615,69.0,69,69,69,0.765849,86.3915,0,4,411850120161518606,2020-12-10,2.0,1.0,79869.0,22.0,,0,0,2,0
2016-04-17,201616,78.0,78,78,78,0.802556,97.6599,0,4,411850120161618606,2020-12-10,0.0,1.0,79869.0,22.0,,0,0,2,0
2016-04-24,201617,27.0,27,27,27,6.05432e-06,33.8054,0,4,411850120161718606,2020-12-10,0.0,0.0,79869.0,12.0,,0,0,2,0
2016-05-01,201618,18.0,18,18,18,5.5918e-07,22.5369,0,4,411850120161818606,2020-12-10,0.0,0.0,79869.0,13.0,,0,0,2,0
