data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2015-12-27,201552,4.0,4,4,4,0.587644,1.32118,0,1,412550620155218606,2020-12-10,3.0,1.0,302759.0,20.0,,0,0,0,11
2016-01-03,201601,30.0,30,30,30,0.999995,9.90887,0,1,412550620160118606,2020-12-10,6.0,6.0,302759.0,18.0,,0,1,2,11
2016-01-10,201602,54.0,54,54,54,1.0,17.836,0,4,412550620160218606,2020-12-10,4.0,4.0,302759.0,18.0,,0,1,2,11
2016-01-17,201603,42.0,42,42,42,0.946946,13.8724,0,4,412550620160318606,2020-12-10,3.0,1.0,302759.0,14.0,,0,0,2,11
2016-01-24,201604,41.0,41,41,41,0.481598,13.5421,0,4,412550620160418606,2020-12-10,4.0,1.0,302759.0,18.0,,0,0,2,11
2016-01-31,201605,47.0,47,47,47,0.627293,15.5239,0,4,412550620160518606,2020-12-10,19.0,1.0,302759.0,19.0,,0,0,2,11
2016-02-07,201606,100.0,100,100,100,0.999997,33.0296,0,4,412550620160618606,2020-12-10,17.0,2.0,302759.0,19.0,,0,1,2,11
2016-02-14,201607,92.0,92,92,92,0.995075,30.3872,0,4,412550620160718606,2020-12-10,12.0,2.0,302759.0,20.0,,0,1,2,11
2016-02-21,201608,70.0,70,70,70,0.212887,23.1207,0,4,412550620160818606,2020-12-10,8.0,1.0,302759.0,20.0,,0,0,2,11
2016-02-28,201609,52.0,52,52,52,0.00329325,17.1754,0,4,412550620160918606,2020-12-10,14.0,1.0,302759.0,17.0,,0,0,2,11
2016-03-06,201610,45.0,45,45,45,0.00781339,14.8633,0,4,412550620161018606,2020-12-10,13.0,1.0,302759.0,18.0,,0,0,2,11
2016-03-13,201611,43.0,43,43,43,0.0895889,14.2027,0,4,412550620161118606,2020-12-10,2.0,1.0,302759.0,17.0,,0,0,2,11
2016-03-20,201612,31.0,31,31,31,0.0352411,10.2392,0,4,412550620161218606,2020-12-10,18.0,1.0,302759.0,18.0,,0,0,2,11
2016-03-27,201613,53.0,53,53,53,0.882142,17.5057,0,4,412550620161318606,2020-12-10,10.0,1.0,302759.0,16.0,,0,0,2,11
2016-04-03,201614,48.0,48,48,48,0.776878,15.8542,0,4,412550620161418606,2020-12-10,6.0,1.0,302759.0,19.0,,0,0,2,11
2016-04-10,201615,33.0,33,33,33,0.0928805,10.8998,0,4,412550620161518606,2020-12-10,6.0,1.0,302759.0,19.0,,0,0,2,11
2016-04-17,201616,24.0,24,24,24,0.00899799,7.9271,0,4,412550620161618606,2020-12-10,9.0,1.0,302759.0,17.0,,0,0,2,11
2016-04-24,201617,6.0,6,6,6,1.27393e-06,1.98177,0,2,412550620161718606,2020-12-10,1.0,0.0,302759.0,11.0,,0,0,1,11
2016-05-01,201618,4.0,4,4,4,7.5694e-05,1.32118,0,2,412550620161818606,2020-12-10,10.0,0.0,302759.0,10.0,,0,0,0,11
2016-05-08,201619,12.0,12,12,12,0.515113,3.96355,0,2,412550620161918606,2020-12-10,1.0,1.0,302759.0,14.0,,0,0,2,11
2016-05-15,201620,3.0,3,3,3,0.0681375,0.990887,0,2,412550620162018606,2020-12-10,,0.0,302759.0,11.0,,0,0,0,11
2016-05-22,201621,3.0,3,3,3,0.0864973,0.990887,0,1,412550620162118606,2020-12-10,2.0,0.0,302759.0,12.0,,0,0,0,11
2016-05-29,201622,1.0,1,1,1,0.0286327,0.330296,0,1,412550620162218606,2020-12-10,0.0,0.0,302759.0,13.0,,0,0,0,11
2016-06-05,201623,4.0,4,4,4,0.648682,1.32118,0,1,412550620162318606,2020-12-10,2.0,1.0,302759.0,5.0,,0,0,0,11
2016-06-12,201624,2.0,2,2,2,0.413643,0.660591,0,1,412550620162418606,2020-12-10,,1.0,302759.0,6.0,,0,0,0,11
2016-06-19,201625,0.0,0,0,0,0.0,0.0,0,1,412550620162518606,2020-12-10,1.0,0.0,302759.0,9.0,,0,0,0,11
2016-06-26,201626,1.0,1,1,1,0.270282,0.330296,0,1,412550620162618606,2020-12-10,1.0,1.0,302759.0,8.0,,0,0,0,11
2016-07-03,201627,1.0,1,1,1,0.499756,0.330296,0,1,412550620162718606,2020-12-10,1.0,1.0,302759.0,8.0,,0,0,0,11
2016-07-10,201628,2.0,2,2,2,0.783872,0.660591,0,1,412550620162818606,2020-12-10,3.0,2.0,302759.0,13.0,,0,0,0,11
2016-07-17,201629,2.0,2,2,2,0.685274,0.660591,0,1,412550620162918606,2020-12-10,1.0,2.0,302759.0,6.0,,0,0,0,11
2016-07-24,201630,0.0,0,0,0,0.0,0.0,0,1,412550620163018606,2020-12-10,1.0,0.0,302759.0,10.0,,0,0,0,11
2016-07-31,201631,0.0,0,0,0,0.0,0.0,0,1,412550620163118606,2020-12-10,5.0,0.0,302759.0,11.0,,0,0,0,11
2016-08-07,201632,1.0,1,1,1,0.637068,0.330296,0,1,412550620163218606,2020-12-10,1.0,2.0,302759.0,7.0,,0,0,0,11
2016-08-14,201633,0.0,0,0,0,0.0,0.0,0,1,412550620163318606,2020-12-10,1.0,0.0,302759.0,11.0,,0,0,0,11
2016-08-21,201634,1.0,1,1,1,0.725946,0.330296,0,1,412550620163418606,2020-12-10,2.0,2.0,302759.0,7.0,,0,0,0,11
2016-08-28,201635,3.0,3,3,3,0.930375,0.990887,0,1,412550620163518606,2020-12-10,8.0,5.0,302759.0,12.0,,0,0,0,11
2016-09-04,201636,1.0,1,1,1,0.425479,0.330296,0,1,412550620163618606,2020-12-10,0.0,1.0,302759.0,10.0,,0,0,0,11
2016-09-11,201637,1.0,1,1,1,0.299538,0.330296,0,1,412550620163718606,2020-12-10,2.0,1.0,302759.0,12.0,,0,0,0,11
